id;first_name;last_name;birth;created_at;modified_at;deleted_at;language
1;Garnett;Schinner;2019-10-21T12:30:27;2019-10-22T06:55:19;2019-10-21T17:45:24;2019-10-21T16:36:43;SPANISH
2;Bailey;Beer;2019-10-22T00:18:09;2019-10-21T14:32:11;2019-10-22T03:18:56;2019-10-21T20:53:52;SPANISH
3;Akeem;Bednar;2019-10-21T12:02:48;2019-10-21T17:59:48;2019-10-21T15:20:45;2019-10-21T12:47:58;FRENCH
4;Zachary;Deckow;2019-10-21T20:30:18;2019-10-22T04:01:21;2019-10-21T20:38:41;2019-10-21T22:43:49;FRENCH
5;Einar;Ledner;2019-10-21T20:38:24;2019-10-22T01:43:40;2019-10-22T07:58:36;2019-10-22T10:12:16;SPANISH
6;Darlene;Klocko;2019-10-22T09:08:59;2019-10-21T16:28:49;2019-10-21T20:29:00;2019-10-22T06:31:56;SPANISH
7;Alyce;Stokes;2019-10-21T20:44:36;2019-10-21T18:59:50;2019-10-22T07:13:55;2019-10-22T00:30:45;ENGLISH
8;Trystan;Wintheiser;2019-10-21T21:48:20;2019-10-21T15:55:23;2019-10-22T02:04:28;2019-10-22T04:00:49;SPANISH
9;Markus;Fisher;2019-10-22T00:45:39;2019-10-21T18:55:34;2019-10-22T08:23:44;2019-10-21T20:41:05;FRENCH
10;Giovanna;Gerhold;2019-10-22T06:57:03;2019-10-21T19:25:26;2019-10-21T17:11:45;2019-10-22T03:50:36;FRENCH
